Species,lipid_class,E11,E12,E14,E17,P0,P1,P7,P21,FA1,FA2
PI 34:2,PI,8.41E-06,2.12E-05,4.40E-05,3.34E-05,3.63E-05,5.00E-05,0.000176891,0.000518556,34:2,NA
PI 34:1,PI,1.14E-05,6.68E-05,0.000132056,8.01E-05,5.03E-05,4.37E-05,7.11E-05,0.000122058,34:1,NA
PI 36:4,PI,4.76E-05,0.000111985,0.000238103,0.000507758,0.0004518,0.000527123,0.002011348,0.002094991,36:4,NA
PI 36:3,PI,2.30E-05,6.01E-05,0.000106834,0.000136719,0.000175173,0.000128612,0.000363462,0.000597392,36:3,NA
PI 36:2,PI,4.24E-05,0.000110476,0.000178205,0.000109591,0.000158737,0.000104815,0.000203239,0.000440324,36:2,NA
PI 36:1,PI,1.84E-05,6.84E-05,0.000112091,6.26E-05,5.39E-05,3.46E-05,4.36E-05,0.00010394,36:1,NA
PI 38:6,PI,4.08E-06,1.16E-05,2.12E-05,3.27E-05,3.34E-05,3.26E-05,9.28E-05,0.000160879,38:6,NA
PI 38:5,PI,6.67E-05,0.000153255,0.000243902,0.000352892,0.000527916,0.0004056,0.000548831,0.000665918,38:5,NA
PI 38:4,PI,0.000295068,0.000805654,0.00133784,0.001744275,0.003810702,0.003147158,0.012250974,0.016389657,38:4,NA
PI 38:3,PI,5.94E-05,0.000158546,0.000298154,0.000371971,0.000811706,0.000495964,0.001793478,0.002638489,38:3,NA
PI 40:6,PI,1.09E-05,3.64E-05,6.81E-05,6.17E-05,5.68E-05,5.35E-05,0.000107885,0.000206143,40:6,NA
PI 40:5,PI,9.54E-06,2.33E-05,4.31E-05,4.45E-05,5.93E-05,4.37E-05,0.000115943,0.000150708,40:5,NA
PI 40:4,PI,9.58E-06,2.91E-05,4.14E-05,3.25E-05,4.34E-05,3.74E-05,5.76E-05,9.56E-05,40:4,NA
GM3 d18:1/16:0,GM3,9.19E-05,0.00012298,0.000214752,0.000111731,0.000158377,0.000139882,0.000216518,8.43E-05,16:0,NA
GM3 d18:0/16:0,GM3,1.71E-05,2.33E-05,4.09E-05,2.32E-05,4.08E-05,3.10E-05,6.21E-05,4.85E-05,16:0,NA
GM3 d18:1/18:0,GM3,5.57E-06,9.38E-06,1.51E-05,9.44E-06,2.12E-05,2.00E-05,1.10E-05,1.28E-05,18:0,NA
GM3 d18:1/20:0,GM3,3.72E-06,5.98E-06,1.44E-05,6.76E-06,1.19E-05,1.13E-05,1.23E-05,9.77E-06,20:0,NA
GM3 d18:1/22:0,GM3,1.65E-05,3.03E-05,5.69E-05,2.45E-05,5.29E-05,4.77E-05,2.96E-05,3.31E-05,22:0,NA
GM3 d18:1/24:1,GM3,1.84E-05,2.72E-05,4.88E-05,3.15E-05,5.97E-05,5.17E-05,6.92E-05,5.04E-05,24:1,NA
GM3 d18:1/24:0,GM3,3.12E-05,4.91E-05,8.94E-05,5.86E-05,9.66E-05,7.40E-05,6.16E-05,5.67E-05,24:0,NA
GM3 d18:0/24:0,GM3,7.80E-06,1.03E-05,1.85E-05,1.21E-05,1.72E-05,1.86E-05,1.84E-05,2.28E-05,24:0,NA
PC36:4p(16:0p_20:4),PC,4.38E-06,1.27E-05,3.16E-05,5.97E-05,5.01E-05,9.24E-05,0.00036479,0.000696159,16:0,20:4
PC38:4p(18:0p_20:4),PC,4.94E-05,0.00010338,0.00023042,0.00053071,0.000646861,0.000846769,0.002636436,0.002929195,18:0,20:4
PC38:3p(18:0p_20:3),PC,5.32E-06,1.28E-05,3.41E-05,7.19E-05,0.000110889,0.000113338,0.000393835,0.000322087,18:0,20:3
PC32:2(16:1_16:1),PC,5.73E-05,0.000200582,0.000404097,0.000397596,0.000419175,0.000165503,0.000136024,0.000373267,16:1,16:1
PC32:1(16:0_16:1),PC,0.000529216,0.001714217,0.00329815,0.003244885,0.003176653,0.002194703,0.005092128,0.010558848,16:0,16:1
PC34:3(16:1_18:2),PC,5.21E-05,0.000152313,0.000288525,0.000348279,0.000455454,0.000393805,0.000698883,0.00263288,16:1,18:2
PC34:2(16:0_18:2),PC,0.00058118,0.001871214,0.003909275,0.006210693,0.007075048,0.010088751,0.045176465,0.115934229,16:0,18:2
PC34:2(16:1_18:1),PC,0.000139661,0.000406927,0.001009997,0.001121866,0.001357339,0.000666298,0.000792277,0.002049808,16:1,18:1
PC34:1(16:0_18:1),PC,0.001227484,0.003988229,0.009937734,0.012776694,0.013583381,0.011951844,0.036096877,0.079677264,16:0,18:1
PC34:1(16:1_18:0),PC,7.17E-05,0.00024374,0.00069587,0.001136316,0.001060188,0.000381409,0.00048094,0.001055666,16:1,18:0
PC36:5(20:5_16:0),PC,6.86E-06,3.04E-05,0.000119683,0.000374098,0.000485025,0.000367589,0.000926068,0.004908002,20:5,16:0
PC36:5(20:4_16:1),PC,2.58E-05,0.000110994,0.000149923,0.000174836,0.000174157,0.000163805,0.000354557,0.001330046,20:4,16:1
PC36:4(20:4_16:0),PC,0.000324798,0.001584019,0.003009768,0.004504415,0.004470555,0.00655913,0.045114053,0.113397089,20:4,16:0
PC36:4(20:3_16:1),PC,6.57E-06,2.82E-05,4.73E-05,4.85E-05,6.58E-05,3.69E-05,9.80E-05,0.000320863,20:3,16:1
PC36:4(18:2_18:2),PC,0.000113963,0.000313167,0.000444837,0.000573277,0.0005325,0.001507485,0.002990851,0.010195345,18:2,18:2
PC36:3(20:3_16:0),PC,8.66E-05,0.000376087,0.000896487,0.001744467,0.001920625,0.001006257,0.011145876,0.025184955,20:3,16:0
PC36:3(18:1_18:2),PC,0.000154457,0.000396051,0.000842523,0.001238219,0.001907838,0.001791597,0.00317266,0.009271293,18:1,18:2
PC36:2(18:0_18:2),PC,0.00010388,0.000330025,0.000935738,0.002220235,0.002941104,0.00231329,0.009763971,0.029468269,18:0,18:2
PC36:2(18:1_18:1),PC,0.000311336,0.000850493,0.002396627,0.003107978,0.005251619,0.003242628,0.003558825,0.00826712,18:1,18:1
PC36:1(18:0_18:1),PC,9.09E-05,0.00030702,0.000903901,0.002117372,0.00261138,0.001418492,0.005016474,0.012962125,18:0,18:1
PC38:6(22:6_16:0),PC,4.45E-05,0.000204541,0.000588614,0.002747817,0.003290168,0.002716822,0.029122647,0.062606478,22:6,16:0
PC38:6(20:4_18:2),PC,4.14E-05,0.000158487,0.000153624,0.000146615,0.000121375,0.000285059,0.00086,0.003975352,20:4,18:2
PC38:6(20:3_18:3),PC,4.16E-06,9.07E-06,1.15E-05,2.48E-05,3.72E-05,2.75E-05,0.000177195,0.000215857,20:3,18:3
PC38:5(22:5_16:0),PC,1.16E-05,4.30E-05,9.75E-05,0.00031264,0.000426554,0.000358775,0.003673498,0.008210892,22:5,16:0
PC38:5(20:4_18:1),PC,0.000110485,0.000350144,0.000597345,0.000584089,0.00088599,0.001179558,0.00286712,0.010793556,20:4,18:1
PC38:5(20:3_18:2),PC,1.07E-05,2.71E-05,4.00E-05,4.69E-05,6.21E-05,7.22E-05,0.000297217,0.000867357,20:3,18:2
PC38:4(20:4_18:0),PC,0.000192375,0.000591224,0.001174383,0.001971928,0.002842237,0.003212363,0.019854781,0.043550089,20:4,18:0
PC38:4(20:3_18:1),PC,2.54E-05,8.02E-05,0.000174431,0.0002196,0.000397634,0.000225357,0.000832059,0.002141297,20:3,18:1
PC38:3(20:3_18:0),PC,3.73E-05,0.000119027,0.000332376,0.000814021,0.00143352,0.000539253,0.00470984,0.008689321,20:3,18:0
PC40:7(22:6_18:1),PC,1.37E-05,3.61E-05,8.05E-05,0.000217706,0.000340707,0.000313065,0.001111897,0.004380768,22:6,18:1
PC40:7(20:4_20:3),PC,1.29E-05,3.48E-05,3.91E-05,3.56E-05,3.01E-05,4.60E-05,0.000159541,0.000375879,20:4,20:3
PC40:7(20:3_20:4),PC,4.45E-06,1.13E-05,1.27E-05,1.25E-05,1.25E-05,2.06E-05,9.52E-05,0.000166981,20:3,20:4
PC40:6(22:6_18:0),PC,2.22E-05,7.39E-05,0.000192353,0.001005937,0.001448946,0.000713649,0.006473672,0.012543871,22:6,18:0
PC40:6(22:5_18:1),PC,5.24E-06,8.42E-06,2.04E-05,3.40E-05,6.09E-05,6.67E-05,0.000165012,0.000548128,22:5,18:1
PC40:6(20:4_20:2),PC,7.53E-06,1.89E-05,2.20E-05,1.88E-05,2.99E-05,6.88E-05,0.000359848,0.000755897,20:4,20:2
PC40:6(20:3_20:3),PC,3.64E-06,7.06E-06,7.74E-06,7.30E-06,1.05E-05,1.76E-05,7.37E-05,0.000138098,20:3,20:3
PC40:5(22:5_18:0),PC,7.72E-06,1.85E-05,3.53E-05,0.000123201,0.000250477,0.000143093,0.000892827,0.001881636,22:5,18:0
PC40:5(20:4_20:1),PC,8.85E-06,1.73E-05,2.20E-05,2.44E-05,3.13E-05,5.52E-05,0.0002921,0.000629226,20:4,20:1
PC40:5(20:3_20:2),PC,1.92E-06,3.03E-06,5.58E-06,5.77E-06,9.42E-06,1.25E-05,9.44E-05,0.000132787,20:3,20:2
PC42:7(22:6_20:1),PC,5.65E-07,1.90E-06,3.31E-06,5.05E-06,7.95E-06,1.49E-05,0.000111546,0.000276004,22:6,20:1
CL66:4(16:1),CL,2.51E-07,3.91E-07,3.31E-07,2.01E-07,1.19E-06,9.24E-07,2.67E-07,1.16E-06,66:4,NA
CL68:6(16:1),CL,4.71E-07,7.26E-07,6.46E-07,9.09E-07,5.41E-06,5.87E-06,9.10E-07,2.70E-06,68:6,NA
CL68:5(16:1),CL,8.49E-07,1.21E-06,1.21E-06,1.02E-06,4.98E-06,4.56E-06,6.28E-07,2.48E-06,68:5,NA
CL68:5(18:2),CL,1.29E-06,1.41E-06,1.02E-06,8.27E-07,5.61E-06,4.60E-06,8.10E-06,4.43E-05,68:5,NA
CL70:8(16:1),CL,1.11E-07,1.27E-07,1.19E-07,1.27E-07,9.39E-07,8.45E-07,3.71E-07,1.64E-06,70:8,NA
CL70:7(16:1),CL,1.30E-06,1.70E-06,1.43E-06,2.86E-06,2.06E-05,1.78E-05,1.36E-05,6.44E-05,70:7,NA
CL70:6(16:1),CL,2.42E-06,2.87E-06,2.82E-06,3.05E-06,1.90E-05,1.55E-05,8.69E-06,3.05E-05,70:6,NA
